 WORD -> SUGGESTION  [FUZZINESS SCORE][C] macintosh -> mackintosh	 [fuzz: 0.947]
[C] telecommunications -> telecommunication	 [fuzz: 0.971]
[C] fortran -> footman	 [fuzz: 0.714]
[C] mathematica -> mathematics	 [fuzz: 0.909]
[C] saas -> says	 [fuzz: 0.75]
[C] iphone -> phone	 [fuzz: 0.909]
[C] nuget -> puget	 [fuzz: 0.8]
[C] hpc -> he	 [fuzz: 0.4]
[C] ux -> up	 [fuzz: 0.5]
[C] msp -> map	 [fuzz: 0.667]
[C] abingdon -> abandon	 [fuzz: 0.8]
[C] groovy -> groove	 [fuzz: 0.833]
[C] dsdm -> did	 [fuzz: 0.571]
[C] xpath -> path	 [fuzz: 0.889]
[C] prince2 -> prince	 [fuzz: 0.923]
[C] uml -> ulm	 [fuzz: 0.667]
[C] sensors -> sensory	 [fuzz: 0.857]
[C] iis -> his	 [fuzz: 0.667]
[C] lt -> it	 [fuzz: 0.5]
[C] python -> patron	 [fuzz: 0.667]
[C] pde -> de	 [fuzz: 0.8]
[C] tfs -> tis	 [fuzz: 0.667]
[C] winbugs -> wings	 [fuzz: 0.833]
[C] struts -> strut	 [fuzz: 0.909]
[C] blah -> bah	 [fuzz: 0.857]
[C] esd -> end	 [fuzz: 0.667]
[C] bpmn -> been	 [fuzz: 0.5]
[C] windbg -> window	 [fuzz: 0.667]
[C] solaris -> solar	 [fuzz: 0.833]
[C] tomcat -> combat	 [fuzz: 0.667]
[C] php -> pp	 [fuzz: 0.8]
[C] gxp -> gap	 [fuzz: 0.667]
[C] nant -> want	 [fuzz: 0.75]
[C] jdbc -> duc	 [fuzz: 0.571]
[C] psa -> pas	 [fuzz: 0.667]
[C] xsd -> sd	 [fuzz: 0.8]
[C] rdoc -> do	 [fuzz: 0.667]
[C] sos -> so	 [fuzz: 0.8]
[C] ussd -> used	 [fuzz: 0.75]
[C] xslt -> felt	 [fuzz: 0.5]
[C] mstest -> test	 [fuzz: 0.8]
[C] gradle -> grade	 [fuzz: 0.909]
[C] reservoirs -> reservoir	 [fuzz: 0.947]
[C] css -> iss	 [fuzz: 0.667]
[C] blogger -> longer	 [fuzz: 0.769]
[C] ios -> is	 [fuzz: 0.8]
[C] apmp -> amp	 [fuzz: 0.857]
[C] gsd -> god	 [fuzz: 0.667]
[C] jboss -> boss	 [fuzz: 0.889]
[C] msbuild -> build	 [fuzz: 0.833]
[C] definiens -> deficient	 [fuzz: 0.778]
[C] qt -> it	 [fuzz: 0.5]
[C] labview -> fabvier	 [fuzz: 0.714]
[C] consultancy -> constancy	 [fuzz: 0.9]
[C] m_o_r -> moor	 [fuzz: 0.667]
[C] nunit -> unit	 [fuzz: 0.889]
[C] x-ray -> gray	 [fuzz: 0.667]
[C] xcode -> code	 [fuzz: 0.889]
[C] câ  -> can	 [fuzz: 0.333]
[C] togaf -> today	 [fuzz: 0.6]
[C] refinery -> refined	 [fuzz: 0.8]
[C] paas -> pass	 [fuzz: 0.75]
[C] wcf -> cf	 [fuzz: 0.8]
[C] analytics -> analysis	 [fuzz: 0.824]
[C] unix -> unit	 [fuzz: 0.75]
[C] java -> cava	 [fuzz: 0.75]
[C] admin -> admit	 [fuzz: 0.8]
[C] cern -> corn	 [fuzz: 0.75]
[C] hibernate -> liberate	 [fuzz: 0.824]
[C] lm -> am	 [fuzz: 0.5]
[C] pmp -> pp	 [fuzz: 0.8]
[C] a3 -> a	 [fuzz: 0.667]
[C] jmeter -> peter	 [fuzz: 0.727]
[C] ssis -> suis	 [fuzz: 0.75]
[C] jquery -> query	 [fuzz: 0.909]
[C] os-x -> six	 [fuzz: 0.571]
[C] abraid -> afraid	 [fuzz: 0.833]
[C] vbscript -> rescript	 [fuzz: 0.75]
[C] burton -> button	 [fuzz: 0.833]
[C] postgres -> postures	 [fuzz: 0.875]
[C] clustering -> fluttering	 [fuzz: 0.8]
[C] f# -> ff	 [fuzz: 0.5]
[C] wix -> six	 [fuzz: 0.667]
[C] signalr -> signal	 [fuzz: 0.923]
[C] ubuntu -> bunt	 [fuzz: 0.8]
[C] mentoring -> entering	 [fuzz: 0.824]
[C] mvvm -> move	 [fuzz: 0.5]
