 WORD -> SUGGESTION  [FUZZINESS SCORE] 
[C] .net -> net	 [fuzz: 0.86]
[C] hibernate -> liberate	 [fuzz: 0.82]
[C] hpc -> he	 [fuzz: 0.4]
[C] hse -> he	 [fuzz: 0.8]
[C] html5 -> html	 [fuzz: 0.89]
[C] iaas -> was	 [fuzz: 0.57]
[C] iis -> his	 [fuzz: 0.67]
[C] interviewing -> intervening	 [fuzz: 0.87]
[C] ios -> is	 [fuzz: 0.8]
[C] ipad -> pad	 [fuzz: 0.86]
[C] iphone -> phone	 [fuzz: 0.91]
[C] irix -> iris	 [fuzz: 0.75]
[C] iseb -> is	 [fuzz: 0.67]
[C] isms -> iss	 [fuzz: 0.86]
[C] itil -> til	 [fuzz: 0.86]
[C] java -> cava	 [fuzz: 0.75]
[C] jboss -> boss	 [fuzz: 0.89]
[C] jdbc -> job	 [fuzz: 0.57]
[C] jenkins -> jerking	 [fuzz: 0.71]
[C] jetty -> petty	 [fuzz: 0.8]
[C] jira -> fire	 [fuzz: 0.5]
[C] jmeter -> peter	 [fuzz: 0.73]
[C] jquery -> query	 [fuzz: 0.91]
[C] juggling -> judging	 [fuzz: 0.8]
[C] junit -> unit	 [fuzz: 0.89]
[C] kalman -> palmar	 [fuzz: 0.67]
[C] kanban -> kansas	 [fuzz: 0.67]
[C] kpn -> ken	 [fuzz: 0.67]
[C] labview -> fabvier	 [fuzz: 0.71]
[C] latex -> later	 [fuzz: 0.8]
[C] lims -> limb	 [fuzz: 0.75]
[C] linux -> line	 [fuzz: 0.67]
[C] lm -> am	 [fuzz: 0.5]
[C] lt -> it	 [fuzz: 0.5]
[C] m_o_r -> moor	 [fuzz: 0.67]
[C] macintosh -> mackintosh	 [fuzz: 0.95]
[C] maple -> male	 [fuzz: 0.89]
[C] mathcad -> matched	 [fuzz: 0.71]
[C] mathematica -> mathematics	 [fuzz: 0.91]
[C] matlab -> matas	 [fuzz: 0.73]
[C] maven -> haven	 [fuzz: 0.8]
[C] mba -> ma	 [fuzz: 0.8]
[C] meanjs -> means	 [fuzz: 0.91]
[C] mece -> mere	 [fuzz: 0.75]
[C] mef -> me	 [fuzz: 0.8]
[C] mentoring -> entering	 [fuzz: 0.82]
[C] mfc -> mac	 [fuzz: 0.67]
[C] msbuild -> build	 [fuzz: 0.83]
[C] msp -> map	 [fuzz: 0.67]
[C] msproject -> project	 [fuzz: 0.88]
[C] mstest -> test	 [fuzz: 0.8]
[C] mvc -> mac	 [fuzz: 0.67]
[C] mvvm -> move	 [fuzz: 0.5]
[C] mysql -> myself	 [fuzz: 0.73]
[C] nant -> want	 [fuzz: 0.75]
[C] netica -> notice	 [fuzz: 0.67]
[C] nlp -> nap	 [fuzz: 0.67]
[C] node.js -> nodes	 [fuzz: 0.83]
[C] nuget -> puget	 [fuzz: 0.8]
[C] nunit -> unit	 [fuzz: 0.89]
[C] objective-c -> objective	 [fuzz: 0.9]
[C] onshore -> shore	 [fuzz: 0.83]
[C] oop -> top	 [fuzz: 0.67]
[C] os-x -> six	 [fuzz: 0.57]
[C] osx -> os	 [fuzz: 0.8]
[C] paas -> pass	 [fuzz: 0.75]
[C] pascal -> rascal	 [fuzz: 0.83]
[C] pde -> de	 [fuzz: 0.8]
[C] perforce -> performed	 [fuzz: 0.82]
[C] perl -> per	 [fuzz: 0.86]
[C] petrel -> petrol	 [fuzz: 0.83]
[C] pharmaceuticals -> pharmaceutical	 [fuzz: 0.97]
[C] php -> pp	 [fuzz: 0.8]
[C] pkpd -> pp	 [fuzz: 0.67]
[C] pmp -> pp	 [fuzz: 0.8]
[C] postgres -> postures	 [fuzz: 0.88]
[C] preservica -> preserving	 [fuzz: 0.8]
[C] prince2 -> prince	 [fuzz: 0.92]
[C] psa -> pas	 [fuzz: 0.67]
[C] python -> patron	 [fuzz: 0.67]
[C] qsar -> tsar	 [fuzz: 0.75]
[C] qt -> it	 [fuzz: 0.5]
[C] radar -> rear	 [fuzz: 0.67]
[C] rdoc -> do	 [fuzz: 0.67]
[C] refinery -> refined	 [fuzz: 0.8]
[C] reservoirs -> reservoir	 [fuzz: 0.95]
[C] rup -> up	 [fuzz: 0.8]
[C] saas -> says	 [fuzz: 0.75]
[C] sas -> was	 [fuzz: 0.67]
[C] scilab -> scab	 [fuzz: 0.8]
[C] scrum -> serum	 [fuzz: 0.8]
[C] sensors -> sensory	 [fuzz: 0.86]
[C] servlets -> servants	 [fuzz: 0.75]
[C] signalr -> signal	 [fuzz: 0.92]
[C] sla -> sea	 [fuzz: 0.67]
[C] solaris -> solar	 [fuzz: 0.83]
[C] solr -> sole	 [fuzz: 0.75]
[C] sos -> so	 [fuzz: 0.8]
[C] spec -> speck	 [fuzz: 0.89]
[C] sql -> sal	 [fuzz: 0.67]
[C] sqlite -> quite	 [fuzz: 0.73]
[C] ssas -> seas	 [fuzz: 0.75]
[C] ssis -> suis	 [fuzz: 0.75]
[C] ssl -> sal	 [fuzz: 0.67]
[C] ssrs -> sir	 [fuzz: 0.57]
[C] stash -> smash	 [fuzz: 0.8]
[C] stevenage -> teenage	 [fuzz: 0.88]
[C] struts -> strut	 [fuzz: 0.91]
[C] svn -> son	 [fuzz: 0.67]
[C] tdd -> add	 [fuzz: 0.67]
[C] teamcity -> tenacity	 [fuzz: 0.88]
[C] telecommunications -> telecommunication	 [fuzz: 0.97]
[C] tfs -> tis	 [fuzz: 0.67]
[C] togaf -> today	 [fuzz: 0.6]
[C] tomcat -> combat	 [fuzz: 0.67]
[C] ubuntu -> bunt	 [fuzz: 0.8]
[C] ucd -> und	 [fuzz: 0.67]
[C] uml -> ulm	 [fuzz: 0.67]
[C] unix -> unit	 [fuzz: 0.75]
[C] usability -> liability	 [fuzz: 0.78]
[C] ussd -> used	 [fuzz: 0.75]
[C] ux -> up	 [fuzz: 0.5]
[C] vb6 -> by	 [fuzz: 0.4]
[C] vba -> va	 [fuzz: 0.8]
[C] vbscript -> rescript	 [fuzz: 0.75]
[C] vms -> vs	 [fuzz: 0.8]
[C] vpn -> van	 [fuzz: 0.67]
[C] vsphere -> sphere	 [fuzz: 0.92]
[C] warrington -> barrington	 [fuzz: 0.9]
[C] wcf -> cf	 [fuzz: 0.8]
[C] wf -> of	 [fuzz: 0.5]
[C] winbugs -> wings	 [fuzz: 0.83]
[C] windbg -> window	 [fuzz: 0.67]
[C] winforms -> informs	 [fuzz: 0.93]
[C] wix -> six	 [fuzz: 0.67]
[C] wpf -> of	 [fuzz: 0.4]
[C] x-ray -> gray	 [fuzz: 0.67]
[C] xcode -> code	 [fuzz: 0.89]
[C] xlink -> link	 [fuzz: 0.89]
[C] xml -> all	 [fuzz: 0.33]
[C] xpath -> path	 [fuzz: 0.89]
[C] xsd -> sd	 [fuzz: 0.8]
[C] xslt -> felt	 [fuzz: 0.5]
[C] xtss -> tss	 [fuzz: 0.86]
